,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
31,25 Jan'20,Viacom India LLP,3 Months,/internship/detail/content-writing-internship-in-gurgaon-at-viacom-india-llp1577467406,Gurgaon,27 Dec'19,Content Writing,,Immediately,3000 /Month,Media
32,28 Jan'20,PVR Cinemas,6 Months,/internship/detail/digital-marketing-internship-in-multiple-locations-at-pvr-cinemas1577355721,Delhi,27 Dec'19,Digital Marketing,,Immediately,5000 /Month,Media
33,30 Jan'20,Times Network,3 Months,/internship/detail/output-desk-internship-in-mumbai-at-times-network1577352655,Mumbai,26 Dec'19,Output Desk,,Immediately,5000 /Month,Media
34,25 Jan'20,Viacom India LLP,6 Months,/internship/detail/after-effects-artist-for-motion-graphics-videos-animation-internship-in-delhi-gurgaon-at-viacom-india-llp1577197908,Delhi,26 Dec'19,After Effects Artist For Motion Graphics Videos & Animation,,Immediately,4000-8000 /Month,Media
35,18 Jan'20,Taylor & Francis India,3 Months,/internship/detail/editorial-researcher-internship-in-delhi-at-taylor-francis-india1576139511,Delhi,13 Dec'19,Editorial Researcher,,Immediately,15000 /Month,Media
36,1 Feb'20,ReleaseMyAd,6 Months,/internship/detail/social-media-marketing-internship-in-kolkata-bidhannagar-at-releasemyad1579339711,Kolkata,18 Jan'20,Social Media Marketing,,Immediately,10000 /Month,Media
37,1 Feb'20,Alban Communications India Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-alban-communications-india-private-limited1579339030,Delhi,18 Jan'20,Social Media Marketing,,Immediately,15000-20000 /Month,Media
38,1 Feb'20,Mahendra Homes Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-bangalore-at-mahendra-homes-private-limited1579338974,Bangalore,18 Jan'20,Digital Marketing,,Immediately,7000 /Month,Media
39,1 Feb'20,Alban Communications India Private Limited,1 Month,/internship/detail/digital-marketing-internship-in-delhi-at-alban-communications-india-private-limited1579338951,Delhi,18 Jan'20,Digital Marketing,,Immediately,12000-20000 /Month,Media
40,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
41,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
