,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
65,30 Jan'20,Customer Service,Taste Of Afghan,3 Months,https://internshala.com/internship/detail/telecalling-internship-in-noida-at-taste-of-afghan1579065980,Noida,15 Jan'20,Telecalling,Immediately,8000 /Month
66,29 Jan'20,Customer Service,YELL,3 Months,https://internshala.com/internship/detail/visual-merchandising-internship-in-delhi-at-yell1579064381,Delhi,15 Jan'20,Visual Merchandising,Immediately,7500 /Month
67,30 Jan'20,Customer Service,Internshala,6 Months,https://internshala.com/internship/detail/student-counselling-and-support-internship-in-gurgaon-at-internshala1579062036,Gurgaon,15 Jan'20,Student Counselling And Support,Immediately,20000 /Month
68,29 Jan'20,Customer Service,Embibe (Individual Learning Private Limited),6 Months,https://internshala.com/internship/detail/customer-support-internship-in-bangalore-at-embibe-individual-learning-private-limited1579001368,Bangalore,14 Jan'20,Customer Support,Immediately,15000 /Month
69,28 Jan'20,Customer Service,Balj Services Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-jaipur-at-balj-services-private-limited1578995754,Jaipur,14 Jan'20,Customer Service,Immediately,10000-16000 /Month
70,28 Jan'20,Customer Service,Intellinects Ventures Private Limited,3 Months,https://internshala.com/internship/detail/customer-engagement-internship-in-thane-mumbai-at-intellinects-ventures-private-limited1578987792,Thane,14 Jan'20,Customer Engagement,Immediately,6000 /Month
71,29 Jan'20,Customer Service,Eduwaive Foundation,6 Months,https://internshala.com/internship/detail/customer-success-management-internship-in-chandigarh-at-eduwaive-foundation1578953417,Chandigarh,14 Jan'20,Customer Success Management,Immediately,6000 /Month
72,28 Jan'20,Customer Service,IndiaWyn Gaming,3 Months,https://internshala.com/internship/detail/customer-relationship-management-internship-in-mumbai-at-indiawyn-gaming1578920831,Mumbai,13 Jan'20,Customer Relationship Management,Immediately,10000 /Month
73,28 Jan'20,Customer Service,Vlebazaar,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgaon-at-vlebazaar1578659591,Gurgaon,13 Jan'20,Customer Service,Immediately,5000-10000 /Month
74,27 Jan'20,Customer Service,BALJ TECHNOLOGY,6 Months,https://internshala.com/internship/detail/customer-support-internship-in-mohali-at-balj-technology1578912008,Mohali,13 Jan'20,Customer Support,Immediately,18000-24000 /Month
75,27 Jan'20,Customer Service,BetterLives Ventures,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgaon-at-betterlives-ventures1578910933,Gurgaon,13 Jan'20,Customer Service,Immediately,15000-20000 /Month
76,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/customer-success-relationship-management-internship-in-gurgaon-at-moretasks-business-solution-limited1578910803,Gurgaon,13 Jan'20,Customer Success & Relationship Management,Immediately,15000-18000 /Month
