,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
28,27 Jan'20,Law,Plan My Health,3 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-thane-mumbai-in-plan-my-health1578899597,Thane,13 Jan'20,Law/ Legal,Immediately,3000 /Month
29,28 Jan'20,Law,Evelyn Learning System,2 Months,https://internshala.com/internship/detail/content-writing-business-law-internship-in-delhi-noida-at-evelyn-learning-system1578899467,Delhi,13 Jan'20,Content Writing (Business Law),Immediately,12000-18000 /Month
30,28 Jan'20,Law,Vivek Sheel,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-vivek-sheel1578478986,Delhi,13 Jan'20,Law/ Legal,Immediately,5000 /Month
31,28 Jan'20,Law,Vaidat Legale Services,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-vaidat-legale-services1578570701,Delhi,13 Jan'20,Law/ Legal,Immediately,1000-4000 /Month
32,26 Jan'20,Law,Linking Tribes,2 Months,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-linking-tribes1578833891,Work From Home,12 Jan'20,Law/ Legal,Immediately,3000 /Month
33,27 Jan'20,Law,Live Values Foundation,6 Weeks,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-live-values-foundation1578564587,Work From Home,12 Jan'20,Law/ Legal,Immediately,5000 /Month + Incentives
34,27 Jan'20,Law,Ipmetrix Consulting Group,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-ipmetrix-consulting-group1578562401,Bangalore,12 Jan'20,Law/ Legal,Immediately,5000 /Month
35,25 Jan'20,Law,Big Start,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-big-start1578741944,Mumbai,11 Jan'20,Law/ Legal,Immediately,5000 /Month
36,25 Jan'20,Law,Arup Dasgupta,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-kolkata-at-arup-dasgupta1578713488,Kolkata,11 Jan'20,Law/ Legal,Immediately,4000 /Month
37,26 Jan'20,Law,Patentskart,6 Months,https://internshala.com/internship/detail/patent-analysis-internship-in-panchkula-at-patentskart1578559228,Panchkula,11 Jan'20,Patent Analysis,Immediately,5000 /Month
38,24 Jan'20,Law,RomakJayanta Infocom Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-kolkata-bidhannagar-at-romakjayanta-infocom-private-limited1578662971,Kolkata,10 Jan'20,Law/ Legal,Immediately,8000 /Month
39,25 Jan'20,Law,Europ Assistance,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-europ-assistance1578568185,Mumbai,10 Jan'20,Law/ Legal,Immediately,15000 /Month
40,28 Jan'20,Law,Xiaomi Technology India Private Limited,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-xiaomi-technology-india-private-limited1578995640,Bangalore,14 Jan'20,Law/ Legal,Immediately,15000 /Month
41,28 Jan'20,Law,Treebo Hotels,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-treebo-hotels1578987065,Bangalore,14 Jan'20,Law/ Legal,Immediately,10000 /Month
42,31 Jan'20,Law,Findoc Investmart Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-findoc-investmart-private-limited1579280252,Delhi,17 Jan'20,Law/ Legal,Immediately,8000-12000 /Month
43,1 Feb'20,Law,Advocate Zeenat Pirani,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-advocate-zeenat-pirani1579162796,Mumbai,17 Jan'20,Law/ Legal,Immediately,2000 Lump-Sum
44,31 Jan'20,Law,Vakilsearch,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-chennai-at-vakilsearch1579257986,Chennai,17 Jan'20,Law/ Legal,Immediately,6000-10000 /Month
45,31 Jan'20,Law,International Justice Mission,2 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-international-justice-mission1579252558,Delhi,17 Jan'20,Law/ Legal,Immediately,Unpaid
46,31 Jan'20,Law,Bandaru And Bandaru Advocates,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-bandaru-and-bandaru-advocates1578557504,Bangalore,16 Jan'20,Law/ Legal,Immediately,Unpaid
47,30 Jan'20,Law,Integreon,1 Month,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-mumbai-in-integreon1579173787,Mumbai,16 Jan'20,Law/ Legal,Immediately,20000 /Month
48,31 Jan'20,Law,Indian Society Of Artificial Intelligence And Law,1 Month,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-indian-society-of-artificial-intelligence-and-law1578985014,Work From Home,16 Jan'20,Law/ Legal,Immediately,Unpaid
49,30 Jan'20,Law,Consumers Congress,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-consumers-congress1579160729,Delhi,16 Jan'20,Law/ Legal,Immediately,5000-5500 /Month
50,31 Jan'20,Law,Anmol Jha & Associates,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-indore-in-anmol-jha-associates1579073833,Indore,16 Jan'20,Law/ Legal,Immediately,1000-2000 /Month
51,31 Jan'20,Law,Jilian Consultants India Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-gurgaon-at-jilian-consultants-india-private-limited1579072727,Gurgaon,16 Jan'20,Law/ Legal,Immediately,10000 /Month
52,30 Jan'20,Law,Empliance Information Services India LLP,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-empliance-information-services-india-llp1579159225,Mumbai,16 Jan'20,Law/ Legal,Immediately,5000-10000 /Month
53,31 Jan'20,Law,Flying Stone India Film Production Services,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-flying-stone-india-film-production-services1579074782,Mumbai,16 Jan'20,Law/ Legal,Immediately,2000 /Month
54,31 Jan'20,Law,Anushree Dixit,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-nashik-at-anushree-dixit1579148796,Nashik,16 Jan'20,Law/ Legal,Immediately,5000 /Month
55,30 Jan'20,Law,Bathiya Legal,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-delhi-in-bathiya-legal1578954120,Delhi,15 Jan'20,Law/ Legal,Immediately,4000 /Month
