,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,28 Jan'20,Commerce,Hindustan Unilever Limited,6 Months,https://internshala.com/internship/detail/ecommerce-management-internship-in-mumbai-at-hindustan-unilever-limited1578478555,Mumbai,14 Jan'20,Ecommerce Management,Immediately,20000 /Month
1,23 Jan'20,Commerce,CEAT Limited,12 Months,https://internshala.com/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-ceat-limited1578393709,Mumbai,8 Jan'20,Chartered Accountancy (CA),Immediately,25000 /Month
2,23 Jan'20,Commerce,Azim Premji Foundation,2 Months,https://internshala.com/internship/detail/data-handling-and-research-accounts-internship-in-bangalore-at-azim-premji-foundation1578466231,Bangalore,8 Jan'20,Data Handling And Research (Accounts),Immediately,9000 /Month
3,21 Jan'20,Commerce,Colgate Palmolive (India) Limited,6 Months,https://internshala.com/internship/detail/ecommerce-account-management-internship-in-mumbai-at-colgate-palmolive-india-limited1578370701,Mumbai,7 Jan'20,Ecommerce Account Management,Immediately,20000-25000 /Month
4,31 Jan'20,Commerce,Pankaj Bora Tax and Project Consultants,2 Months,https://internshala.com/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-pankaj-bora-tax-and-project-consultants1579267719,Mumbai,17 Jan'20,Chartered Accountancy (CA),Immediately,8000 /Month
5,31 Jan'20,Commerce,Pappu Gupta,6 Months,https://internshala.com/internship/detail/accounts-internship-in-ranchi-at-pappu-gupta1579267036,Ranchi,17 Jan'20,Accounts,Immediately,2500 /Month
6,31 Jan'20,Commerce,CGS & Associates,6 Months,https://internshala.com/internship/detail/chartered-accountancy-auditing-taxation-internship-in-mumbai-at-cgs-associates1579262654,Mumbai,17 Jan'20,Chartered Accountancy (Auditing & Taxation),Immediately,5000-10000 /Month
7,31 Jan'20,Commerce,UniKwan Innovations Private Limited,3 Months,https://internshala.com/internship/detail/accounts-internship-in-bangalore-at-unikwan-innovations-private-limited1579260285,Bangalore,17 Jan'20,Accounts,Immediately,10000-12000 /Month
8,31 Jan'20,Commerce,Butterfly Fields Private Limited,1 Month,https://internshala.com/internship/detail/accounts-internship-in-hyderabad-at-butterfly-fields-private-limited1579259119,Hyderabad,17 Jan'20,Accounts,Immediately,5000-8000 /Month
9,31 Jan'20,Commerce,Nuvoretail,6 Months,https://internshala.com/internship/detail/accounts-internship-in-delhi-at-nuvoretail1579258451,Delhi,17 Jan'20,Accounts,Immediately,15000 /Month
10,31 Jan'20,Commerce,Mansa,6 Months,https://internshala.com/internship/detail/accounts-internship-in-delhi-at-mansa1579257179,Delhi,17 Jan'20,Accounts,Immediately,5000 /Month
11,31 Jan'20,Commerce,Digital Web Solutions,3 Months,https://internshala.com/internship/detail/accounts-internship-in-gurgaon-at-digital-web-solutions1579254963,Gurgaon,17 Jan'20,Accounts,Immediately,5000 /Month
