,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,13 Feb'20,Facebook Marketing,New Barrackpore Navachetna Welfare Society,1 Week,https://internshala.com/internship/detail/facebook-marketing-work-from-home-job-internship-at-new-barrackpore-navachetna-welfare-society1578551243,Work From Home,9 Jan'20,Facebook Marketing,Immediately,Unpaid
1,10 Feb'20,Facebook Marketing,LopScoop,6 Months,https://internshala.com/internship/detail/social-media-executive-internship-in-noida-at-lopscoop1578547431,Noida,9 Jan'20,Social Media Executive,Immediately,10000-18000 /Month
2,13 Feb'20,Facebook Marketing,New Barrackpore Navachetna Welfare Society,1 Week,https://internshala.com/internship/detail/facebook-marketing-work-from-home-job-internship-at-new-barrackpore-navachetna-welfare-society1578551243,Work From Home,9 Jan'20,Facebook Marketing,Immediately,Unpaid
3,10 Feb'20,Facebook Marketing,LopScoop,6 Months,https://internshala.com/internship/detail/social-media-executive-internship-in-noida-at-lopscoop1578547431,Noida,9 Jan'20,Social Media Executive,Immediately,10000-18000 /Month
