,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
30,25 Jan'20,ECELL-SASTRA,3 Weeks,/internship/detail/campus-ambassador-programme-at-ecell-sastra1578407702,Work From Home,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
31,25 Jan'20,Appleton Innovations,2 Months,/internship/detail/campus-ambassador-programme-at-appleton-innovations1578568441,Bhimavaram,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
32,25 Jan'20,Zoomcar India Private Limited,2 Months,/internship/detail/campus-ambassador-programme-at-zoomcar-india-private-limited1578559025,Chennai,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
33,25 Jan'20,Across The Globe (ATG),6 Months,/internship/detail/campus-ambassador-programme-at-across-the-globe-atg1578502123,Work From Home,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
34,25 Jan'20,Viden.io,1 Month,/internship/detail/campus-ambassador-programme-at-videnio1578483707,Work From Home,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
35,25 Jan'20,Political Sampark,3 Months,/internship/detail/campus-ambassador-programme-at-political-sampark1578392735,Delhi,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
36,25 Jan'20,Pune Startup Fest'20,1 Month,/internship/detail/campus-ambassador-programme-at-pune-startup-fest201578467859,Pune,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
37,25 Jan'20,Mindfrey,2 Months,/internship/detail/campus-ambassador-programme-at-mindfrey1577707949,Delhi,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
38,24 Jan'20,ASPIRE 2020,5 Weeks,/internship/detail/campus-ambassador-programme-at-aspire-20201578305726,Work From Home,9 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
39,24 Jan'20,Exodia IIT Mandi,2 Months,/internship/detail/campus-ambassador-programme-at-exodia-iit-mandi1578468295,Work From Home,9 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
40,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
41,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
42,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
43,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
44,25 Jan'20,Zoomcar India Private Limited,2 Months,/internship/detail/campus-ambassador-programme-at-zoomcar-india-private-limited1578559025,Chennai,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
45,24 Jan'20,Exodia IIT Mandi,2 Months,/internship/detail/campus-ambassador-programme-at-exodia-iit-mandi1578468295,Work From Home,9 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
46,22 Jan'20,E-Cell IIT Madras,1 Month,/internship/detail/campus-ambassador-programme-at-e-cell-iit-madras1578152189,Chennai,7 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
47,21 Jan'20,Casio India Company Private Limited,1 Month,/internship/detail/campus-ambassador-programme-at-casio-india-company-private-limited1576237903,Ahmedabad,16 Dec'19,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
48,1 Feb'20,"Techkriti, IIT Kanpur",6 Months,/internship/detail/campus-ambassador-programme-at-techkriti-iit-kanpur1579101871,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
49,1 Feb'20,GamingMonk,4 Weeks,/internship/detail/campus-ambassador-programme-at-gamingmonk1579088232,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
50,1 Feb'20,CallE,6 Months,/internship/detail/campus-ambassador-programme-at-calle1579166033,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
51,1 Feb'20,Whispering Shouts,2 Weeks,/internship/detail/campus-ambassador-programme-at-whispering-shouts1579259992,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
52,1 Feb'20,DROR LABS,1 Month,/internship/detail/campus-ambassador-programme-at-dror-labs1579160306,Gurgaon,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
53,1 Feb'20,Socioteria,3 Weeks,/internship/detail/campus-ambassador-programme-at-socioteria1578770207,Delhi,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
54,1 Feb'20,Nalanda College Of Engineering Chandi,3 Weeks,/internship/detail/campus-ambassador-programme-at-nalanda-college-of-engineering-chandi1578993650,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
55,1 Feb'20,Abhyas | The Internship Cell Of Hindu College,1 Month,/internship/detail/campus-ambassador-programme-at-abhyas--the-internship-cell-of-hindu-college1579074749,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
56,31 Jan'20,"Nimbus,NIT Hamirpur",2 Months,/internship/detail/campus-ambassador-programme-at-nimbus-nit-hamirpur1579070180,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
57,31 Jan'20,Pinkonnect Express Private Limited (Paapos),6 Weeks,/internship/detail/campus-ambassador-programme-at-pinkonnect-express-private-limited-paapos1579018434,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
58,31 Jan'20,Hackoverflow 3.0,4 Months,/internship/detail/campus-ambassador-programme-at-hackoverflow-301578581169,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
